Compound_new_ID	nonstereo_aromatic_smiles	Uniprot_ID	pref_name	activity_id	mean_log	selected_stvalue	ORGANISM
ID_98131	O=C(CCCN1CCCCC1)c1c(O)cc(O)cc1O	P05480	Tyrosine-protein kinase SRC	{('50522659', 'BDB')}	3.74	IC50	mouse
ID_96193	Clc1nc(NCc2ccccn2)c2c(-c3ccccc3)cccc2n1	P97477	Serine/threonine-protein kinase Aurora-A	{('705914', 'BDB'), ('705883', 'BDB'), ('923969', 'BDB')}	4.4	IC50	mouse
ID_91758	Nc1ncnc2c1nc(N)n2C1OC(COP(=O)(P)OC2C(O)C(COP(=O)(O)OC3C(O)C(CO)OC3n3c(N)nc4c(N)ncnc43)OC2n2c(N)nc3c(N)ncnc32)C(O)C1O	Q05921	RNase L	{('50812776', 'BDB')}	4.0	IC50	mouse
ID_173253	Cn1ncc(-c2cc3c(cn2)cnn3-c2ccccc2F)c1N1CCC(N)CC1	P06803		{('434623', 'BDB')}		IC50	mouse
ID_84167	CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21	P11440	Cyclin-dependent kinase 1	{('50300957', 'BDB')}		IC50	mouse
ID_80087	CCCCCC(NC)c1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12	P22518	Dual specificity protein kinase CLK1	{('50074142', 'BDB'), ('50934407', 'BDB'), ('50934408', 'BDB')}		IC50	mouse
ID_125021	O=C1Cc2c([nH]c3c(C=CC(=O)c4ccccc4)cccc23)-c2cccnc2N1	P22518	Dual specificity protein kinase CLK1	{('50109076', 'BDB')}		IC50	mouse
ID_172797	O=C(C=Cc1cccc2c3c([nH]c12)-c1cccnc1NC(=O)C3)Nc1ccccc1	P22518	Dual specificity protein kinase CLK1	{('50109078', 'BDB')}		IC50	mouse
ID_80551	O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(F)cccc3c12	P22518	Dual specificity protein kinase CLK1	{('50363969', 'BDB')}		IC50	mouse
ID_6056	CCCNC1=NC(=Cc2cc(OC)c(OC)c(OC)c2)C(=O)N1C	P22518	Dual specificity protein kinase CLK1	{('50648100', 'BDB')}		IC50	mouse
ID_98763	CCCNC1=NC(=Cc2ccc3c(c2)OCO3)C(=O)N1c1ccccc1	P22518	Dual specificity protein kinase CLK1	{('50648102', 'BDB')}		IC50	mouse
ID_134439	CCCNC1=NC(=Cc2ccccc2O)C(=O)N1C	P22518	Dual specificity protein kinase CLK1	{('50648262', 'BDB')}		IC50	mouse
ID_56300	CCOC(=O)Nc1ccc2ncc(-c3cccnc3)n2n1	P22518	Dual specificity protein kinase CLK1	{('50824168', 'BDB')}		IC50	mouse
ID_156687	O=c1cc(-c2ccccc2)oc2c(C3CCCCN3)c(O)cc(O)c12	P22518	Dual specificity protein kinase CLK1	{('50934399', 'BDB')}		IC50	mouse
ID_64112	COc1cc(O)c(C2CCCCN2)c2oc(-c3ccccc3)cc(=O)c12	P22518	Dual specificity protein kinase CLK1	{('50934400', 'BDB')}		IC50	mouse
ID_95586	COc1cc(O)c(C2CCCCN2C)c2oc(-c3ccccc3)cc(=O)c12	P22518	Dual specificity protein kinase CLK1	{('50934401', 'BDB')}		IC50	mouse
ID_129525	O=c1cc(-c2ccccc2)oc2c(C3CCCN3)c(O)cc(O)c12	P22518	Dual specificity protein kinase CLK1	{('50934405', 'BDB')}		IC50	mouse
ID_136692	COc1ccc2[nH]c3c(c4c(c5ccnn53)C(=O)NC4=O)c2c1	P22518	Dual specificity protein kinase CLK1	{('50940147', 'BDB')}		IC50	mouse
ID_61436	NC(=O)c1c(O)cc(O)c2c1oc1c(=O)[nH]c(=O)[nH]c12	P22518	Dual specificity protein kinase CLK1	{('50953537', 'BDB')}		IC50	mouse
ID_84151	NC(=O)c1c(O)cc(O)c2c1oc1c(=O)[nH]cnc12	P22518	Dual specificity protein kinase CLK1	{('50953778', 'BDB')}		IC50	mouse
ID_43127	CC(=O)C1C(=O)C=C2Oc3c(C(N)=O)c(O)cc(O)c3C2(C)C1=O	P22518	Dual specificity protein kinase CLK1	{('50953853', 'BDB')}		IC50	mouse
ID_102378	NCCOCCOCCOc1ccc(NC2=NC(=Cc3ccccc3)C(=O)N2)cc1	P22518	Dual specificity protein kinase CLK1	{('51084210', 'BDB')}		IC50	mouse
ID_96092	NCCOCCOCCO	P22518	Dual specificity protein kinase CLK1	{('51084213', 'BDB')}		IC50	mouse
ID_57756	O=C1NC(Nc2ccccc2)=NC1=Cc1ccccc1	P22518	Dual specificity protein kinase CLK1	{('51084214', 'BDB')}		IC50	mouse
ID_741	Nc1cccc(Nc2nc3ccccc3nc2C(=O)O)c1	P22518	Dual specificity protein kinase CLK1	{('51101306', 'BDB')}		IC50	mouse
ID_119339	O=C(O)c1nc2ccccc2nc1Nc1cccc(O)c1	P22518	Dual specificity protein kinase CLK1	{('51101312', 'BDB')}		IC50	mouse
ID_126420	O=C(O)c1nc2ccccc2nc1Nc1cccc(N2CCOCC2)c1	P22518	Dual specificity protein kinase CLK1	{('51101324', 'BDB')}		IC50	mouse
ID_7512	O=C(O)c1nc2ccccc2nc1Nc1ccc(O)cc1	P22518	Dual specificity protein kinase CLK1	{('51101343', 'BDB')}		IC50	mouse
ID_120498	O=C(O)c1nc2ccccc2nc1Nc1ccccc1O	P22518	Dual specificity protein kinase CLK1	{('51101352', 'BDB')}		IC50	mouse
ID_80551	O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(F)cccc3c12	O35491	Dual specificity protein kinase CLK2	{('50363985', 'BDB')}		IC50	mouse
ID_56300	CCOC(=O)Nc1ccc2ncc(-c3cccnc3)n2n1	O35491	Dual specificity protein kinase CLK2	{('50822974', 'BDB')}		IC50	mouse
ID_102378	NCCOCCOCCOc1ccc(NC2=NC(=Cc3ccccc3)C(=O)N2)cc1	O35491	Dual specificity protein kinase CLK2	{('51084204', 'BDB')}		IC50	mouse
ID_96092	NCCOCCOCCO	O35491	Dual specificity protein kinase CLK2	{('51084207', 'BDB')}		IC50	mouse
ID_57756	O=C1NC(Nc2ccccc2)=NC1=Cc1ccccc1	O35491	Dual specificity protein kinase CLK2	{('51084208', 'BDB')}		IC50	mouse
ID_80551	O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(F)cccc3c12	O35492	Dual specificity protein kinase CLK3	{('50363998', 'BDB')}		IC50	mouse
ID_134439	CCCNC1=NC(=Cc2ccccc2O)C(=O)N1C	O35492	Dual specificity protein kinase CLK3	{('50648111', 'BDB')}		IC50	mouse
ID_98763	CCCNC1=NC(=Cc2ccc3c(c2)OCO3)C(=O)N1c1ccccc1	O35492	Dual specificity protein kinase CLK3	{('50648263', 'BDB')}		IC50	mouse
ID_56300	CCOC(=O)Nc1ccc2ncc(-c3cccnc3)n2n1	O35492	Dual specificity protein kinase CLK3	{('50823758', 'BDB')}		IC50	mouse
ID_102378	NCCOCCOCCOc1ccc(NC2=NC(=Cc3ccccc3)C(=O)N2)cc1	O35492	Dual specificity protein kinase CLK3	{('51084198', 'BDB')}		IC50	mouse
ID_96092	NCCOCCOCCO	O35492	Dual specificity protein kinase CLK3	{('51084201', 'BDB')}		IC50	mouse
ID_57756	O=C1NC(Nc2ccccc2)=NC1=Cc1ccccc1	O35492	Dual specificity protein kinase CLK3	{('51084202', 'BDB')}		IC50	mouse
ID_80551	O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(F)cccc3c12	O35493	Dual specificity protein kinase CLK4	{('50364078', 'BDB')}		IC50	mouse
ID_56300	CCOC(=O)Nc1ccc2ncc(-c3cccnc3)n2n1	O35493	Dual specificity protein kinase CLK4	{('50825013', 'BDB')}		IC50	mouse
ID_102378	NCCOCCOCCOc1ccc(NC2=NC(=Cc3ccccc3)C(=O)N2)cc1	O35493	Dual specificity protein kinase CLK4	{('51084258', 'BDB')}		IC50	mouse
ID_96092	NCCOCCOCCO	O35493	Dual specificity protein kinase CLK4	{('51084261', 'BDB')}		IC50	mouse
ID_57756	O=C1NC(Nc2ccccc2)=NC1=Cc1ccccc1	O35493	Dual specificity protein kinase CLK4	{('51084262', 'BDB')}		IC50	mouse
ID_84167	CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21	P63085	MAP kinase ERK2	{('50300886', 'BDB')}		IC50	mouse
ID_127706	CC(O)CNC(=O)c1cnccc1Nc1nc(-c2cc(Cl)ccc2F)ccc1C(C)C	P36898		{('534141', 'BDB')}		IC50	mouse
ID_26263	CC(O)CNC(=O)c1cnccc1Nc1cc(-c2cc(Cl)ccc2F)ncc1Br	P36898		{('534147', 'BDB')}		IC50	mouse
ID_47478	CC(O)CNC(=O)c1cnccc1Nc1cc(-c2cc(Cl)ccc2F)ncc1C(C)C	P36898		{('534153', 'BDB')}		IC50	mouse
ID_19229	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NCC(C)O	P36898		{('534159', 'BDB')}		IC50	mouse
ID_1384	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(C)CO	P36898		{('534180', 'BDB')}		IC50	mouse
ID_83686	CC(O)CNC(=O)c1cnccc1Nc1cc(-c2cc(Cl)ccc2F)ncc1N(C)C	P36898		{('534216', 'BDB')}		IC50	mouse
ID_76857	COC(C)(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NCC(C)O	P36898		{('534222', 'BDB')}		IC50	mouse
ID_71885	CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NCCNS(C)(=O)=O	P36898		{('534228', 'BDB')}		IC50	mouse
ID_103166	CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NCCNC(=O)OC(C)(C)C	P36898		{('534234', 'BDB')}		IC50	mouse
