training_data,timestamp,train_samples,train_features,nb_epoch,best_batch,from_batch_sizes,layer1_size,layer2_size,loss,mse,mae,r2
kinase.csv,2026-04-07T08:56:22.229163,125407,167,50,32,"[16, 32, 64]",64,32,1.025206208229065,1.025206208229065,0.8000539541244507,0.4146864037114364
kinase.csv,2026-04-07T09:30:47.000239,125407,167,20,16,"[16, 32, 64]",64,32,1.0851855278015137,1.0851855278015137,0.8218243718147278,0.3804428099506505
kinase.csv,2026-04-08T16:45:11.188885,7000,167,50,32,"[16, 32, 64]",64,32,1.8629666566848755,1.8629666566848755,1.068464756011963,-0.009458827088080657
